Name,Quantity,Component
"U1",1," Arduino Uno R3"
"D1",1,"Red LED"
"S1",1," Pushbutton"
"PIEZO1",1," Piezo"
"R1",1,"220 Ω Resistor"
"R2",1,"100 Ω Resistor"
"R3",1,"1 kΩ Resistor"
